Substance Name,Synonyms,Chemical Name,Chemical Formula,NFLIS Detailed Drug Category,Date Added to NFLIS-Drug,Chemical Structures
Gentamicin Sulfate,,,,Other,08-2003,Structure Image cannot be exported
Gentian Violet,,,,Other,06-2010,Structure Image cannot be exported
Germacrene,,,,Other substances,06-2015,Structure Image cannot be exported
Gestodene,,,,Other,06-2010,Structure Image cannot be exported
Gibberellic acid,,,,Other substances,10-2012,Structure Image cannot be exported
Glatiramer Acetate,,,,Other,07-2008,Structure Image cannot be exported
Glaucine,,,,Other substances,06-2015,Structure Image cannot be exported
Glecaprevir,,,,Other substances,05-2020,Structure Image cannot be exported
Gliclazide,,,,Other substances,06-2015,Structure Image cannot be exported
Glimepiride,,,,Other,02-2006,Structure Image cannot be exported
Glipizide,,,,Other,07-2003,Structure Image cannot be exported
Glucophage,,,,Other substances,10-1998,Structure Image cannot be exported
Glutamine,,,,Other substances,05-2017,Structure Image cannot be exported
Glutathione,,,,Other substances,05-2018,Structure Image cannot be exported
Glutethimide,,,,Depressants and Tranquilizers,10-1998,Structure Image cannot be exported
Glyburide,,,,Other substances,04-2001,Structure Image cannot be exported
Glycerol tricaprylate (Tricaprylin),Tricaprylin,"2,3-di(octanoyloxy)propyl octanoate (Alternative chemical name: propane-1,2,3-triyl trioctanoate)",C27H50O6,Other substances,06-2025,Structure Image cannot be exported
Glycopyrrolate,,,,Other,12-2004,Structure Image cannot be exported
Gonadorelin Hcl,,,,Other substances,08-2008,Structure Image cannot be exported
Griseofulvin,,,,Other,10-2004,Structure Image cannot be exported
Guaiacol,,,,Other,06-2010,Structure Image cannot be exported
Guaifenesin,,,,Other substances,10-1998,Structure Image cannot be exported
Guanfacine,,,,Other substances,05-2011,Structure Image cannot be exported
HOMATROPINE,,,,Hallucinogens,12-1999,Structure Image cannot be exported
