model,threshold,tp,fp,recall,fpr,precision
eb05-weighted,1.2459328849065934,14,11,0.9333333333333333,0.05612244897959184,0.56
eb05-weighted,1.2388999826979297,14,12,0.9333333333333333,0.061224489795918366,0.5384615384615384
eb05-weighted,1.2379539385758664,14,13,0.9333333333333333,0.0663265306122449,0.5185185185185185
eb05-weighted,1.2366838717248216,14,14,0.9333333333333333,0.07142857142857142,0.5
eb05-weighted,1.2128507869827536,14,15,0.9333333333333333,0.07653061224489796,0.4827586206896552
eb05-weighted,1.2124938447009233,14,16,0.9333333333333333,0.08163265306122448,0.4666666666666667
eb05-weighted,1.2006942626237849,14,17,0.9333333333333333,0.08673469387755102,0.45161290322580644
eb05-weighted,1.1527172230923146,14,18,0.9333333333333333,0.09183673469387756,0.4375
eb05-weighted,1.1525752149983477,14,19,0.9333333333333333,0.09693877551020408,0.42424242424242425
eb05-weighted,1.1443041011556736,14,20,0.9333333333333333,0.10204081632653061,0.4117647058823529
eb05-weighted,1.1342447438462928,14,21,0.9333333333333333,0.10714285714285714,0.4
eb05-weighted,1.1334359103112368,14,22,0.9333333333333333,0.11224489795918367,0.3888888888888889
