substance,n_recent,ebgm,eb05,as_of
Ephedrine,7,3.7231177227576278,2.1054149736138217,2024-10-01
Benzylfentanyl,5,2.914797798162161,1.5251287520664791,2024-10-01
Codeine,24,2.123357287854962,1.5240348684066047,2024-10-01
Citalopram,14,2.3288448817025014,1.5225469427571536,2024-10-01
Hydroxyzine,12,2.3436116680477195,1.48690876772438,2024-10-01
Diphenhydramine,20,2.0194446671451587,1.4072688389905001,2024-10-01
Ketamine,26,1.8218814674382031,1.3238502256925966,2024-10-01
Amphetamine,34,1.6987701850825123,1.2827452010921552,2024-10-01
Hydromorphone,11,2.0285401831092,1.2646169360433572,2024-10-01
Mitragynine,24,1.7432006395169997,1.2511782979003145,2024-10-01
Pregabalin,3,2.5737165660985593,1.1944685754329163,2024-10-01
Clonazepam,24,1.6450277685792474,1.1807149428651085,2024-10-01
Morphine,37,1.4208682481301884,1.0850179077542874,2024-10-01
Alprazolam,124,1.2421569791687466,1.07060612323794,2024-10-01
Paroxetine,4,2.1252520206020566,1.0550644538617127,2024-10-01
Doxepin,4,2.1252520206020566,1.0550644538617127,2024-10-01
Baclofen,4,2.1252520206020566,1.0550644538617127,2024-10-01
Hydrocodone,45,1.3403802233620998,1.0488900601749858,2024-10-01
Fluoxetine,8,1.683844687531486,0.9810110747787284,2024-10-01
Methamphetamine,1594,1.0218755943354478,0.9804853145476805,2024-10-01
Methocarbamol,3,2.1068612981831754,0.9777998271544058,2024-10-01
PCP,111,1.0996395472177425,0.9398161508048273,2024-10-01
Xylazine,4,1.8423708451329746,0.9146303453367871,2024-10-01
Ethanol,348,0.991433827957986,0.9072828757415345,2024-10-01
para-Fluorofentanyl,96,1.0705409422606407,0.9042520632100065,2024-10-01
Trazodone,13,1.3828644260973895,0.8912959800280718,2024-10-01
Ethylene Glycol,2,2.0806135457214108,0.8820280951146169,2024-10-01
MDMB-4en-PINACA,2,2.0806135457214108,0.8820280951146169,2024-10-01
Protonitazene,2,2.0806135457214108,0.8820280951146169,2024-10-01
Phentermine,2,2.0806135457214108,0.8820280951146169,2024-10-01
Oxycodone,38,1.141610341061737,0.8747870507164991,2024-10-01
Quetiapine,16,1.287899260357435,0.8631623639910108,2024-10-01
Cocaine,451,0.914795099059911,0.8462497891805029,2024-10-01
Dextromethorphan,3,1.7833697480672939,0.8276665544695899,2024-10-01
