zip,mean_log_rr,max_log_rr,min_p,n_cells,mean_rr
91602,-0.9222036777764012,-0.819380110765326,1.0,26,0.3976418004630389
91506,-0.9241425200590436,-0.792628982954549,1.0,24,0.39687158263368
91344,-0.9336194100558383,-0.7772795255241798,0.99,147,0.39312823994187124
90077,-0.9337949281877482,-0.7582154766850899,0.998,73,0.39305924486271643
91601,-0.9487562346806142,-0.8773807989181592,1.0,25,0.3872223377860468
90210,-0.9507372231526419,-0.756175487130994,1.0,111,0.38645601408859426
91307,-0.953629625314199,-0.819921619043551,0.988,44,0.38533984286428496
91504,-0.9540472324339728,-0.8730687262845231,0.996,50,0.38517895579850253
91505,-0.9574192363443179,-0.7727909514697422,0.998,53,0.3838823182154757
91326,-0.9650697369646539,-0.7623852157519999,1.0,119,0.38095663205378894
90024,-0.9699925307485936,-0.8687815539753068,1.0,31,0.3790858695804888
90638,-0.9811940842731904,-0.8008414241686665,0.968,79,0.37486321323051297
90272,-0.9854938201261242,-0.5120004505669482,0.992,254,0.3732548606561519
91311,-0.9900099622108224,-0.41278634531795966,0.996,237,0.37157298931515165
90049,-0.9914443278846566,-0.8139853151499556,0.998,157,0.3710403998293051
90404,-0.995774510682528,-0.8327555873191077,0.998,20,0.36943720065046426
90073,-1.003815412834486,-0.9618432691415757,1.0,6,0.36647850350732275
90095,-1.0256611781971077,-1.016586370773895,1.0,3,0.35855931541366737
91304,-1.0259720520021804,-0.7357704066345923,0.992,97,0.35844786603918355
90639,-1.0541928621303245,-1.0541928621303245,0.994,1,0.34847358004946016
91010,-1.0545222160616896,-0.5904965132307178,0.988,117,0.34835882780398286
91740,-1.0576093727744518,-0.778735826315915,0.978,54,0.34728504782661856
91340,-1.05944946787102,-0.9367912017719964,0.998,36,0.34664659789744
91321,-1.1438621842349583,-0.8434490157873524,0.988,274,0.31858620404931737
91354,-1.162445576070235,-0.6678011723118584,0.998,77,0.31272046327225794
91733,-1.1682728678632395,-0.8511157721921743,0.996,63,0.31090344916058005
90401,-1.1848585737562025,-1.0930075404467607,0.998,9,0.305789423090251
90403,-1.185085331997381,-1.0617930116158,1.0,15,0.30572009067964484
91008,-1.1964724599448746,-1.0696154044300994,0.996,20,0.3022585627254669
91351,-1.2509667279431511,-0.5489831517307886,1.0,104,0.28622795850246685
91731,-1.2626621377698242,-0.8381071825249857,0.988,40,0.2828999046357816
91355,-1.2892208069574955,-0.7100227748748287,0.986,150,0.2754853557546481
90402,-1.3105177309365017,-1.1636210196485028,1.0,17,0.26968039834997
91746,-1.3665756548308745,-0.8414448215682233,0.984,63,0.25497860104109693
91350,-1.441039526541893,-1.1223689857484396,0.998,140,0.23668159395801014
91706,-1.444558114390091,-1.029218608464841,0.994,155,0.235850272374307
91732,-1.6952859806729006,-1.5024267206807314,0.998,52,0.1835467307037673
